time_ms,temp1_v,temp2_v,trigger
     0,157,190,1
     0,156,190,1
    19,157,190,1
    37,157,190,1
    56,157,190,1
    75,157,189,1
    94,156,190,1
   112,157,191,1
   131,157,190,1
   150,157,190,1
   168,157,190,1
   187,157,190,1
   206,158,191,0
   225,158,191,0
   243,158,190,0
   262,158,190,0
   281,158,191,0
   300,156,190,1
   318,157,190,1
   337,157,190,1
   356,157,190,1
   374,157,190,1
   393,157,190,1
   412,157,190,1
   431,157,190,1
   449,157,190,1
   469,157,190,1
   487,157,190,1
   505,157,190,1
   524,156,190,1
   543,157,190,1
   562,157,190,1
   580,157,190,1
   599,157,190,1
   618,157,190,1
   636,157,190,1
   655,157,190,1
   674,157,190,1
   693,157,191,1
   711,157,191,1
   730,156,190,1
   749,157,190,1
   768,157,190,1
   786,157,190,1
   805,157,190,1
   824,157,190,1
   842,157,190,1
   861,157,190,1
   880,157,190,1
   899,157,191,1
   917,157,190,1
   936,157,190,1
   955,157,190,1
   973,157,190,1
   992,157,191,1
  1011,157,190,1
  1030,157,190,1
  1048,158,190,0
  1068,158,190,0
  1086,158,190,0
  1104,158,190,0
  1123,157,190,1
  1142,156,190,1
  1161,157,191,1
  1179,157,190,1
  1198,157,190,1
  1217,157,190,1
  1235,157,190,1
  1254,157,190,1
  1273,157,190,1
  1292,157,190,1
  1310,157,190,1
  1329,157,190,1
  1348,157,190,1
  1367,157,190,1
  1385,157,190,1
  1404,157,190,1
  1423,157,190,1
  1441,157,190,1
  1460,157,190,1
  1479,157,190,1
  1498,157,190,1
  1516,157,190,1
  1536,157,190,1
  1554,157,190,1
  1572,157,190,1
  1591,157,190,1
  1610,157,191,1
  1629,157,190,1
  1647,157,190,1
  1667,157,190,1
  1685,157,190,1
  1703,157,191,1
  1722,157,190,1
  1741,157,190,1
  1760,156,191,1
  1778,157,191,1
  1797,156,191,1
  1816,156,191,1
  1835,157,190,1
  1853,157,190,1
  1872,158,191,0
  1891,157,191,0
  1909,158,190,0
  1928,158,191,0
  1947,157,190,1
  1966,157,191,1
  1984,157,191,1
  2003,157,191,1
  2022,157,191,1
  2040,156,191,1
  2059,157,191,1
  2078,157,191,1
  2097,157,190,1
  2115,157,191,1
  2135,157,190,1
  2153,157,191,1
  2171,157,191,1
  2190,156,191,1
  2209,157,191,1
  2228,157,191,1
  2246,157,190,1
  2266,158,191,1
  2284,157,191,1
  2302,157,190,1
  2321,157,191,1
  2340,157,191,1
  2359,157,190,1
  2377,156,191,1
  2396,157,191,1
  2415,157,191,1
  2434,157,191,1
  2452,157,190,1
  2471,157,191,1
  2490,157,191,1
  2508,157,191,1
  2527,158,191,1
  2546,157,190,1
  2565,157,191,1
  2583,157,191,1
  2603,157,191,1
  2621,157,191,1
  2639,158,191,1
  2658,157,191,1
  2677,157,191,1
  2696,158,191,0
  2714,158,191,0
  2734,158,191,0
  2752,158,191,0
  2770,158,190,0
  2789,157,191,1
  2808,156,191,1
  2827,157,191,1
  2845,157,190,1
  2865,157,191,1
  2883,157,191,1
  2902,156,191,1
  2920,157,191,1
  2939,157,191,1
  2958,157,191,1
  2976,157,191,1
  2995,157,191,1
  3014,157,190,1
  3033,157,191,1
  3051,157,191,1
  3070,157,191,1
  3089,157,191,1
  3107,157,191,1
  3126,157,191,1
  3145,157,191,1
  3164,157,191,1
  3182,157,191,1
  3202,157,190,1
  3220,157,191,1
  3238,156,191,1
  3257,158,190,1
  3276,157,190,1
  3295,157,191,1
  3313,157,191,1
  3333,157,191,1
  3351,157,191,1
  3370,157,191,1
  3388,157,191,1
  3407,158,191,1
  3426,157,191,1
  3444,157,191,1
  3464,156,191,1
  3482,157,191,1
  3501,157,190,1
  3519,158,191,0
  3538,158,191,0
  3557,158,191,0
  3575,158,191,0
  3594,158,191,0
  3613,157,191,1
  3632,157,191,1
  3650,157,191,1
  3670,157,191,1
  3688,158,191,1
  3706,157,191,1
  3725,157,191,1
  3744,157,191,1
  3763,156,191,1
  3781,157,191,1
  3801,157,191,1
