time_ms,temp1_v,temp2_v,trigger
     0,161,179,1
     1,162,178,1
    20,161,179,1
    38,161,179,1
    57,161,178,1
    76,161,178,1
    95,162,179,0
   113,162,179,1
   132,161,179,1
   151,161,179,1
   169,162,178,1
   188,162,179,1
   207,161,179,1
   226,161,179,1
   244,161,178,1
   264,162,178,1
   282,161,179,0
   300,162,179,0
   319,162,178,1
   338,161,179,1
   357,161,179,1
   375,161,179,1
   394,162,178,1
   413,161,179,1
   431,162,178,1
   450,161,179,1
   469,162,178,1
   488,162,178,1
   506,162,178,1
   525,161,178,1
   544,161,178,1
   563,161,178,1
   581,161,179,1
   600,162,179,1
   619,161,178,1
   637,161,179,1
   656,162,179,0
   675,162,179,0
   694,161,179,1
   712,161,179,1
   731,162,180,1
   750,161,178,1
   768,162,178,1
   787,162,179,1
   806,162,179,1
   825,161,179,1
   843,161,179,1
   863,162,178,1
   881,161,179,1
   899,161,179,1
   918,162,178,1
   937,161,178,1
   956,161,179,1
   974,161,179,1
   993,161,179,1
  1012,162,179,0
  1030,162,179,0
  1049,162,179,1
  1068,162,179,1
  1087,161,178,1
  1105,162,179,1
  1124,161,179,1
  1143,161,179,1
  1162,161,175,1
  1180,161,179,1
  1199,162,179,1
  1218,161,179,1
  1236,163,179,1
  1255,162,179,1
  1274,161,179,1
  1293,161,179,1
  1311,162,178,1
  1331,161,179,1
  1349,161,179,1
  1367,162,179,1
  1386,162,179,0
  1405,161,179,0
  1424,161,179,1
  1442,161,179,1
  1462,161,179,1
  1480,162,179,1
  1498,162,178,1
  1517,161,179,1
  1536,161,179,1
  1555,161,179,1
  1573,162,179,1
  1592,161,178,1
  1611,162,179,1
  1630,162,179,1
  1648,162,179,0
  1667,161,179,1
  1686,161,179,1
  1704,161,179,1
  1723,161,179,1
  1742,161,178,1
  1761,162,179,0
  1779,162,179,0
  1798,161,179,1
  1817,160,179,1
  1835,162,179,1
  1854,161,179,1
  1873,162,179,1
  1892,162,179,1
  1910,161,178,1
  1930,161,179,1
  1948,161,179,1
  1966,161,179,1
  1985,161,179,1
  2004,161,179,1
  2023,161,179,1
  2041,161,178,1
  2061,162,179,1
  2079,162,179,1
  2097,161,179,1
  2116,161,178,1
  2135,162,179,0
  2154,162,179,0
  2172,161,179,1
  2191,161,179,1
  2210,161,179,1
  2229,161,180,1
  2247,161,179,1
  2266,161,179,1
  2285,161,179,1
  2303,161,179,1
  2322,161,179,1
  2341,161,179,1
  2360,161,179,1
  2378,161,179,1
  2398,161,179,1
  2416,162,178,1
  2434,161,179,1
  2453,161,178,1
  2472,161,177,1
  2491,162,179,1
  2509,161,179,0
  2529,162,179,0
  2547,162,179,1
  2565,161,179,1
  2584,161,179,1
  2603,162,178,1
  2622,161,179,1
  2640,161,179,1
  2660,161,179,1
  2678,161,179,1
  2697,161,179,1
  2715,161,178,1
  2734,161,179,1
  2753,162,180,1
  2771,161,179,1
  2790,161,179,1
  2809,161,178,1
  2828,161,179,1
  2846,161,179,1
  2865,161,179,1
  2884,162,179,0
  2902,162,179,0
  2921,161,178,1
  2940,161,176,1
  2959,162,178,1
  2977,161,179,1
  2997,161,178,1
  3015,161,179,1
  3033,162,179,1
  3052,162,179,1
  3071,161,179,1
  3090,161,179,1
  3108,162,179,1
  3128,161,179,1
  3146,161,181,1
  3164,161,179,1
  3183,161,179,1
  3202,161,179,1
  3221,161,179,1
  3239,161,178,1
  3259,162,179,0
